block_id,block_start_time,block_end_time,rows,positive_count,positive_rate,p_adic_tree_scan_llr,tree_scan_depth,tree_scan_node,tree_scan_observed,tree_scan_expected,tree_scan_support_ok,p_adic_conditional_tree_scan_llr,conditional_tree_scan_depth,conditional_tree_scan_node,conditional_tree_scan_parent_node,conditional_tree_scan_observed,conditional_tree_scan_parent_observed,conditional_tree_scan_expected,conditional_tree_scan_support_ok,flat_tuple_scan_llr,marginal_column_scan_llr,reversed_hierarchy_tree_scan_llr,random_hierarchy_tree_scan_llr_seed_11,random_hierarchy_tree_scan_llr_seed_17,random_hierarchy_tree_scan_llr_seed_23,random_hierarchy_tree_scan_llr_seed_31,random_hierarchy_tree_scan_llr_seed_47,category_entropy_temporal,transaction_count_signal
0,1519898707.0,1519898871.0,1035,701,0.6772946859903382,22.761936123043355,3,0,207,129.85844829929894,True,15.695377104084152,2,0,0,271,670,202.6064925159691,True,22.327292324905343,22.744379658463416,22.327292324905343,22.327292324905343,22.327292324905343,22.327292324905343,22.327292324905343,22.327292324905343,8.463404469335133,1035.0
1,1519898871.0,1519898999.0,1035,696,0.672463768115942,9.320791640219689,6,0,176,128.047245846519,True,11.668979174585324,2,0,0,242,614,185.67221851463438,True,9.320791640219689,9.281322977825937,9.320791640219689,9.320791640219689,9.320791640219689,9.320791640219689,9.320791640219689,9.320791640219689,7.868915559595903,1035.0
2,1519898999.0,1519899145.0,1035,772,0.7458937198067633,70.19828013624343,3,680139614562,22,0.3416798670620775,True,69.5539103218776,3,680139614562,13147,22,298,0.36152881566740414,True,45.643318065471796,70.19779930245932,45.643318065471796,45.643318065471796,60.9747739235373,57.847797871482804,60.97435966692327,57.88639647008883,9.066153797135257,1035.0
3,1519899145.0,1519899211.0,1034,897,0.867504835589942,161.31805337603353,3,680139614562,42,0.3413497415866552,True,156.70820971622607,3,680139614562,13147,42,329,0.39913751796837565,True,81.66084849346944,161.3171285172262,81.66084849346944,81.66084849346944,119.41341755984072,111.76182588512879,119.41271547708229,111.82655270783587,7.713429403457422,1034.0
4,1519899211.0,1519899259.0,1035,971,0.9381642512077295,87.29390815275842,3,680139614562,26,0.3416798670620775,True,89.11971263332605,3,680139614562,13147,26,272,0.3299860330923957,True,45.643318065471796,87.29333851543555,45.643318065471796,45.643318065471796,82.6101898535774,75.10010238861635,82.6096648969797,75.14741020431296,9.068098285026306,1035.0
5,1519899259.0,1519899259.0,1035,1035,1.0,892.2434847266491,2,0,813,188.23657834530763,True,515.4391152341434,2,0,0,813,1034,312.6792735246449,True,3.803115258844408,987.8530396847723,989.3074724037514,978.9769271382593,978.633178768981,987.8530396847723,241.3890324083489,987.8589286636507,10.68959400850606,1035.0
6,1519899259.0,1519899284.0,1034,993,0.960348162475822,500.8397976937388,2,0,649,188.05470725511896,True,260.1003109447193,2,0,0,649,992,299.97856802364385,True,45.65674852466185,552.5117931517229,553.2873407487862,569.389512898216,564.9391135573146,552.5117931517229,73.45249373894326,552.5164976416263,11.820631481956303,1034.0
7,1519899284.0,1519899366.0,1035,748,0.7227053140096619,216.04618316526498,3,680139614562,53,0.3416798670620775,True,213.4582691619348,3,680139614562,13147,53,315,0.38215294273567885,True,130.804190497791,216.04501410405496,130.804190497791,130.804190497791,173.2596394831765,165.63168978586953,173.25869386664087,165.72036638274648,8.665563619081125,1035.0
8,1519899366.0,1519899461.0,1035,739,0.7140096618357488,221.15247585825006,3,680139614562,54,0.3416798670620775,True,223.88509746047563,3,680139614562,13147,54,288,0.34939697621547783,True,105.74382227995869,221.15128459615542,105.74382227995869,105.74382227995869,188.49828091399863,170.69778378982892,188.49726887747272,170.78863769097842,9.322889534888233,1035.0
9,1519899461.0,1519899555.0,1034,917,0.8868471953578336,74.42939660002524,3,680139614562,23,0.3413497415866552,True,73.06120686281949,3,680139614562,13147,23,307,0.3724474711741378,True,49.94575349763494,74.42889355802728,49.94575349763494,49.94575349763494,65.2236421869605,62.101258736931705,65.22320578416296,62.14203521263952,8.021738076490948,1034.0
