method,control_family,auprc,roc_auc,recall_at_1pct_fpr,threshold_at_1pct_fpr,observed_fpr_at_1pct_budget,best_control_auprc,delta_vs_best_control_auprc,bootstrap_delta_vs_random_hierarchy_lower,bootstrap_delta_vs_random_hierarchy_upper,bootstrap_p_delta_vs_random_hierarchy_le_zero,bootstrap_delta_vs_flat_lower,bootstrap_delta_vs_flat_upper,auprc_lift_vs_prevalence,claim_status,claim_scope
p_adic_ieee_cis_categorical_frequency,proposed,0.08450324146668226,0.7011067675653901,0.048,0.9838777454618393,0.010120617176400427,0.057466713578778056,0.0270365278879042,0.036716801494378,0.04278707230393198,0.0,0.0243460682598888,0.029910418309797335,2.4442062473012838,q1_candidate_passed_controls,official_ieee_cis_temporal_categorical_signal_audit
flat_categorical_frequency_control,negative_control,0.057466713578778056,0.6649794830167431,0.022040816326530613,0.999949854578277,0.010307711196992463,0.057466713578778056,0.0,0.036716801494378,0.04278707230393198,0.0,0.0243460682598888,0.029910418309797335,1.6621906793540373,q1_candidate_passed_controls,official_ieee_cis_temporal_categorical_signal_audit
random_hierarchy_order_control,negative_control,0.04498518212432855,0.6134105686405364,0.009469387755102041,0.999780530204259,0.010073843671252419,0.057466713578778056,-0.012481531454449503,0.036716801494378,0.04278707230393198,0.0,0.0243460682598888,0.029910418309797335,1.3011697690629054,q1_candidate_passed_controls,official_ieee_cis_temporal_categorical_signal_audit
random_digit_map_control_seed_0,invariance_control,0.08450324146668226,0.7011067675653901,0.048,0.9838777454618393,0.010120617176400427,0.057466713578778056,0.0270365278879042,0.036716801494378,0.04278707230393198,0.0,0.0243460682598888,0.029910418309797335,2.4442062473012838,q1_candidate_passed_controls,official_ieee_cis_temporal_categorical_signal_audit
random_digit_map_control_seed_1,invariance_control,0.08450324146668226,0.7011067675653901,0.048,0.9838777454618393,0.010120617176400427,0.057466713578778056,0.0270365278879042,0.036716801494378,0.04278707230393198,0.0,0.0243460682598888,0.029910418309797335,2.4442062473012838,q1_candidate_passed_controls,official_ieee_cis_temporal_categorical_signal_audit
random_digit_map_control_seed_2,invariance_control,0.08450324146668226,0.7011067675653901,0.048,0.9838777454618393,0.010120617176400427,0.057466713578778056,0.0270365278879042,0.036716801494378,0.04278707230393198,0.0,0.0243460682598888,0.029910418309797335,2.4442062473012838,q1_candidate_passed_controls,official_ieee_cis_temporal_categorical_signal_audit
random_digit_map_control_seed_3,invariance_control,0.08450324146668226,0.7011067675653901,0.048,0.9838777454618393,0.010120617176400427,0.057466713578778056,0.0270365278879042,0.036716801494378,0.04278707230393198,0.0,0.0243460682598888,0.029910418309797335,2.4442062473012838,q1_candidate_passed_controls,official_ieee_cis_temporal_categorical_signal_audit
random_digit_map_control_seed_4,invariance_control,0.08450324146668226,0.7011067675653901,0.048,0.9838777454618393,0.010120617176400427,0.057466713578778056,0.0270365278879042,0.036716801494378,0.04278707230393198,0.0,0.0243460682598888,0.029910418309797335,2.4442062473012838,q1_candidate_passed_controls,official_ieee_cis_temporal_categorical_signal_audit
