method,family,auprc,roc_auc,claim_role,dataset,train_rows,test_rows,fraud_rate_test,temporal_split,iterations,categorical_features,numeric_feature_count,p_adic_minus_best_strong_auprc,best_augmented_minus_best_strong_auprc,claim_status
p_adic_selected_hierarchy,proposed_unsupervised_signal,0.0845032414666822,0.7011067675653901,primary_method,official_ieee_cis,413378,177162,0.034572876802023006,True,200,ProductCD|card4|card6|P_emaildomain|R_emaildomain|DeviceType,31,-0.41096470282098185,-0.000362177628983551,strong_baselines_expose_detector_superiority_failure
lightgbm_compact_tabular,strong_supervised_baseline,0.49546794428766405,0.9048734570261859,strong_context_baseline,official_ieee_cis,413378,177162,0.034572876802023006,True,200,ProductCD|card4|card6|P_emaildomain|R_emaildomain|DeviceType,31,-0.41096470282098185,-0.000362177628983551,strong_baselines_expose_detector_superiority_failure
lightgbm_compact_tabular_plus_padic,strong_supervised_baseline,0.4951057666586805,0.9060945089694757,p_adic_augmented_strong_baseline,official_ieee_cis,413378,177162,0.034572876802023006,True,200,ProductCD|card4|card6|P_emaildomain|R_emaildomain|DeviceType,31,-0.41096470282098185,-0.000362177628983551,p_adic_augmented_strong_baseline_checked
catboost_compact_tabular,strong_supervised_baseline,0.46367905460177516,0.886807631192821,strong_context_baseline,official_ieee_cis,413378,177162,0.034572876802023006,True,200,ProductCD|card4|card6|P_emaildomain|R_emaildomain|DeviceType,31,-0.41096470282098185,-0.000362177628983551,strong_baselines_expose_detector_superiority_failure
catboost_compact_tabular_plus_padic,strong_supervised_baseline,0.4709170427511435,0.8924448451480782,p_adic_augmented_strong_baseline,official_ieee_cis,413378,177162,0.034572876802023006,True,200,ProductCD|card4|card6|P_emaildomain|R_emaildomain|DeviceType,31,-0.41096470282098185,-0.000362177628983551,p_adic_augmented_strong_baseline_checked
xgboost_compact_tabular,strong_supervised_baseline,0.48482862733181004,0.9006378984950504,strong_context_baseline,official_ieee_cis,413378,177162,0.034572876802023006,True,200,ProductCD|card4|card6|P_emaildomain|R_emaildomain|DeviceType,31,-0.41096470282098185,-0.000362177628983551,strong_baselines_expose_detector_superiority_failure
xgboost_compact_tabular_plus_padic,strong_supervised_baseline,0.4833421820839792,0.8985412283987245,p_adic_augmented_strong_baseline,official_ieee_cis,413378,177162,0.034572876802023006,True,200,ProductCD|card4|card6|P_emaildomain|R_emaildomain|DeviceType,31,-0.41096470282098185,-0.000362177628983551,p_adic_augmented_strong_baseline_checked
