block_id,block_start_time,block_end_time,rows,fraud_count,fraud_rate,flat_tuple_rarity_mean,category_entropy_temporal,transaction_count_signal,p_adic_multiresolution_temporal,p_adic_weighted_depth_temporal,p_adic_p95_temporal,p_adic_depth1_mean,p_adic_depth2_mean,p_adic_depth3_mean,p_adic_depth4_mean,p_adic_depth5_mean,p_adic_ewma_temporal,p_adic_cusum_temporal,flat_ewma_temporal,flat_cusum_temporal,high_fraud_block,isolation_forest_block_features
0,10438003.0,10481795.0,1846,102,0.0552546045503792,0.9368684963751325,6.324508961508306,1846.0,0.6696299026113975,0.7596271797457842,0.9785884063784976,0.3736293077660861,0.533906226214201,0.7463584766896589,0.7573870060119091,0.9368684963751325,0.7596271797457842,0.0021690454545905125,0.9368684963751325,0.0,1,0.41525551261402277
1,10481895.0,10531767.0,1845,62,0.03360433604336043,0.935853227748003,6.319750082038212,1845.0,0.6592297959475433,0.7522721241192956,0.9772689131815598,0.3499064740321458,0.5246515708562963,0.7373447211004053,0.7483929860008659,0.935853227748003,0.7577884158391621,0.0,0.9366146792183501,0.0,0,0.4456840853385256
2,10531790.0,10603792.0,1846,62,0.03358613217768147,0.9403672369807435,6.656827630693032,1846.0,0.6773229125025956,0.7643598739522659,0.9806777989502891,0.391172773198288,0.5505200455100941,0.7468689671336148,0.7576855396902371,0.9403672369807435,0.7594312803674381,0.006901739661072215,0.9375528186589485,0.0019625850348158336,0,0.39109763346899123
3,10603807.0,10643514.0,1845,41,0.022222222222222223,0.938986022880989,6.3163263324718155,1845.0,0.6626906016608054,0.7542686711970586,0.9785884063784976,0.36225709299516023,0.5272397663250527,0.7375171765056332,0.7474529495971922,0.938986022880989,0.7581406280748433,0.0037122765669371782,0.9379111197144586,0.0025439559698771097,0,0.38497594717327216
4,10643603.0,10699805.0,1846,69,0.03737811484290358,0.9363813048088644,6.1236452680060225,1846.0,0.6550355790731365,0.7501468004051765,0.9724755123190586,0.333564590834547,0.5242136459003048,0.7357698158896987,0.7452485379322679,0.9363813048088644,0.7561421711574265,0.0,0.9375286659880601,0.0005206088328137959,0,0.4812631599210926
5,10699806.0,10745374.0,1845,59,0.03197831978319783,0.9380719846362038,6.416188057120758,1845.0,0.6674491592012499,0.7586797640891195,0.9785857319560057,0.3629912573020023,0.5362116968476875,0.7454615417230291,0.754509315497327,0.9380719846362038,0.7567765693903498,0.0012216297979258384,0.9376644956500959,0.000187941523089874,0,0.37327484574270536
6,10745780.0,10780843.0,1846,40,0.021668472372697724,0.935681289933657,5.661315551637612,1846.0,0.6390158059129873,0.7396647014333624,0.9698474325544078,0.3076980638217027,0.48426942195204664,0.7293938513237685,0.7380364025337618,0.935681289933657,0.7524986024011029,0.0,0.9371686942209861,0.0,0,0.6777466697678686
7,10780902.0,10809110.0,1845,39,0.02113821138211382,0.9371576501393336,6.032889380058455,1845.0,0.6494419328247037,0.7469698041212017,0.972353491792866,0.3268898260239247,0.5025373868772285,0.7357049929891536,0.7449198080938788,0.9371576501393336,0.7511164028311276,0.0,0.937165933200573,0.0,0,0.5071159260082453
8,10809162.0,10868661.0,1845,101,0.054742547425474256,0.9407758842105521,6.459428298152025,1845.0,0.6650707178188018,0.7583863670769893,0.9759300304215558,0.35215875904622046,0.5324426541577622,0.7450331489775633,0.7549431427019114,0.9407758842105521,0.7529338938925929,0.0009282327857955686,0.9380684209530677,0.0023712322646244344,1,0.37529618897813977
9,10868665.0,10903571.0,1846,77,0.04171180931744312,0.938831892010123,6.315221582304073,1846.0,0.665282913352297,0.7581673250947067,0.9741441012268913,0.35319134047785167,0.5331461386993027,0.7461139838033004,0.755131211770907,0.938831892010123,0.7542422516931213,0.0016374235893086286,0.9382592887173316,0.00279847232881969,1,0.3709531538101449
10,10903718.0,10963882.0,1845,53,0.02872628726287263,0.9381977952865479,6.347924704912645,1845.0,0.6643639155176028,0.757429763839978,0.9756189616554676,0.35253535252231477,0.531012380347452,0.7443988297770853,0.7556752196546136,0.9381977952865479,0.7550391297298356,0.0016090531380928974,0.9382439153596357,0.002591615669439884,0,0.3689121331061887
11,10963909.0,11027943.0,1846,53,0.028710725893824486,0.9382473745910811,6.519213405567564,1846.0,0.6687390243732827,0.7589985851529927,0.9785884063784976,0.36880029007197795,0.5388150609682489,0.7440180926094123,0.7538143036256933,0.9382473745910811,0.7560289935856248,0.0031495039998918894,0.9382447801674971,0.002434338314593276,0,0.3704156001392403
12,11027962.0,11056484.0,1845,35,0.018970189701897018,0.9384100354442517,6.407621174425747,1845.0,0.6619625091627508,0.7545820580677641,0.974153578711597,0.3515471452578331,0.5332788243086523,0.7377302632920021,0.748846277511015,0.9384100354442517,0.7556672597061596,0.00027342777646233163,0.9382860939866858,0.002439721812917295,0,0.3876801807546441
13,11056485.0,11128968.0,1846,58,0.0314192849404117,0.9379844275919125,6.331469969302199,1846.0,0.6658636666049855,0.7574865047424094,0.9785750342660382,0.35615882483905387,0.5409405029189199,0.7426027082004769,0.751631869474564,0.9379844275919125,0.756122070965222,0.00030179822767806286,0.9382106773879926,0.0020194974589020642,0,0.3709321794529955
14,11128972.0,11205154.0,1845,77,0.04173441734417344,0.9373292412494879,6.450474715798766,1845.0,0.6710113372139639,0.7604969168492876,0.9800367733092635,0.3698854781848391,0.5479269298309271,0.7445919385730814,0.7553230982314838,0.9373292412494879,0.7572157824362383,0.0033405807857719294,0.9379903183533664,0.0009440867624622706,1,0.40016823208212443
15,11205161.0,11246605.0,1845,97,0.05257452574525745,0.9383992684476036,6.353762486721658,1845.0,0.6656476986512919,0.7563638505595768,0.9785750342660382,0.3648392479110831,0.5357304828990522,0.7399167735484394,0.7493527204502813,0.9383992684476036,0.7570027994670729,0.002246297054155022,0.9380925558769257,0.000938703264138141,1,0.36195316125608634
16,11246665.0,11309850.0,1846,53,0.028710725893824486,0.9401542357451995,6.393316652473932,1846.0,0.6620511715828556,0.7555704222816771,0.9746225721258315,0.34557435957559696,0.5355080260925699,0.7398822022652257,0.7491370342356864,0.9401542357451995,0.756644705170724,0.00035858504463848195,0.9386079758439941,0.0026882870634099554,0,0.37943078261166663
17,11309871.0,11377868.0,1845,68,0.03685636856368564,0.9387892286003393,6.437050797580088,1845.0,0.667079952730126,0.7587764590483133,0.9785750342660382,0.3579713255160834,0.5402843204643059,0.7442587800012991,0.7540961090686024,0.9387892286003393,0.7571776436401213,0.001676909801758053,0.9386532890330804,0.003072863717821561,0,0.36423740956862516
18,11377913.0,11415055.0,1846,78,0.04225352112676056,0.9416286727718401,6.5895838819525006,1846.0,0.6714233756224579,0.7638902256775779,0.9759258934242637,0.35589764759840375,0.5465120585885417,0.7510257400850331,0.7620527590684709,0.9416286727718401,0.7588557891494855,0.008109001188142284,0.9393971349677703,0.006296884543734005,1,0.3932733656531831
19,11415084.0,11481762.0,1845,64,0.034688346883468835,0.9400322969130805,6.473137403344073,1845.0,0.6633848243918202,0.7571772238860355,0.9724755123190586,0.34512296499958284,0.535687587499684,0.7433263564608367,0.7527549160859174,0.9400322969130805,0.758436147833623,0.007828090782984076,0.9395559254540979,0.007924529510886846,0,0.36393106774956024
20,11481779.0,11550625.0,1846,88,0.047670639219934995,0.9391863870011766,6.5873340108442395,1846.0,0.6676078903467945,0.758659160318988,0.9762732340453985,0.3649385302969076,0.5361724950351686,0.7442962081911867,0.7534458312095327,0.9391863870011766,0.7584919009549642,0.009029116810778337,0.9394635408408677,0.008706264566135768,1,0.37557560377803056
21,11550638.0,11605713.0,1845,87,0.04715447154471545,0.9444330482518545,6.8970147795487655,1845.0,0.6812451575694174,0.7698356242135617,0.9796394544178115,0.38176158556290213,0.5613172169481198,0.7538826458518321,0.7648312912323787,0.9444330482518545,0.7613278317696136,0.021406606733146316,0.9407059176936144,0.014734660872062544,1,0.4666188542492737
22,11605947.0,11654350.0,1846,66,0.035752979414951244,0.9396299838328551,6.476703382268169,1846.0,0.6644024023948976,0.7565971109464105,0.9756189616554676,0.3553943054576582,0.5362955428271782,0.7399473655073168,0.7507448143494793,0.9396299838328551,0.7601451515638128,0.020545583388363098,0.9404369342284247,0.01595999275898996,0,0.3580892120807965
23,11654355.0,11725712.0,1845,64,0.034688346883468835,0.9376193060145426,6.436787029022277,1845.0,0.6668608362625598,0.7574067200482121,0.9785750342660382,0.3619621998647025,0.5434672216093337,0.7409141877297822,0.7503412660944381,0.9376193060145426,0.7594605436849127,0.02049416914538149,0.9397325271749541,0.015174646827604832,0,0.37152495010161335
24,11725727.0,11803808.0,1845,64,0.034688346883468835,0.9382894662814846,6.523084681156837,1845.0,0.6702346186053376,0.7597502017820967,0.9796394544178115,0.36888412167643897,0.5483944278516097,0.7432875909242493,0.7523174862929053,0.9382894662814846,0.7595329582092086,0.02278623663628454,0.9393717619515868,0.015059461163161703,0,0.3752234909000323
25,11803851.0,11848223.0,1846,66,0.035752979414951244,0.9390619837072471,6.609791024892473,1846.0,0.6700016692503601,0.758590330792813,0.9806777989502891,0.3775509079255084,0.5436930247772712,0.7402016334911872,0.7495007963505868,0.9390619837072471,0.7592973013551098,0.02391843313790387,0.939294317390502,0.015716792924481138,0,0.37943850080272606
26,11848226.0,11913539.0,1845,38,0.020596205962059622,0.9397345785161793,6.430721182963682,1845.0,0.6678982156655385,0.7610232086782474,0.9758044328552804,0.3479986106049006,0.5449424618656977,0.7484700061071415,0.758345421233773,0.9397345785161793,0.7597287781858941,0.02748350752495754,0.9394043826719214,0.017046719494732687,0,0.3750920210069353
27,11913547.0,11977154.0,1846,64,0.03466955579631636,0.9381188205818541,6.374005422784517,1846.0,0.663732713547511,0.7550707314846133,0.9785750342660382,0.3569845862861453,0.5392730128097377,0.7372123347849608,0.7470748132748568,0.9381188205818541,0.7585642665105738,0.0250961047183772,0.9390829921494046,0.016760888130659124,0,0.37635453447397776
